"University Name,School Name,Program  Title",Program Type,Tuition,Program Length,Program Start,Delivery Method,Email,Phone Number,Address,Program Information
Arizona State University�s W. P. Carey School of Business: MS in Information Management,Information Systems,"$31,300 - $55,600",12 months,August,"On-Campus, Online",wpcareymasters@asu.edu,480-965-3332,"ASU Admissions Services, Graduate Admissions, MSIM Admissions Representatives, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/information-technology
Arizona State University�s W. P. Carey School of Business: MS in Real Estate Development,Real Estate,"$38,400 - $59,500",9 months,August,On-Campus,wpcareymasters@asu.edu,480-965-3332,"MRED Admissions Representatives,, ASU Admissions Services,, Graduate Admissions,, 1151 S. Forest Avenue, #SSV12, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/real-estate-development
Arizona State University�s W. P. Carey School of Business: Master of Taxation,Taxation,"$27,200 - $48,200",9 months,August,On-Campus,wpcareymasters@asu.edu,480-965-3332,"ASU Admissions Services,, Graduate Admissions,, MTAX Admissions Representatives,, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/accounting-taxation
Arizona State University�s W. P. Carey School of Business: MS in Global Logistics,Global/International Business,"$34,200 - $56,200",9 months,August,On-Campus,wpcareymasters@asu.edu,480-965-3332,"ASU Admissions Services, Graduate Admissions, MSGL Admissions Representatives, 1151 S. Forest Avenue, #SSV112, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/global-logistics
Arizona State University�s W. P. Carey School of Business: MS in Management,Management,"$27,000",9 months,Fall,On-Campus,wpcareymasters@asu.edu,480-965-3332,"W. P. Carey School of Business, Graduate Programs Office, 450 E. Lemon Street, McCord Hall 350, Tempe, Arizona 85287",https://wpcarey.asu.edu/masters-programs/management
Babson College�s F.W. Olin Graduate School of Business: MS in Accounting,Accounting,"$53,040",1 year,September/May,On-Campus,gradadmissions@babson.edu,781-239-4317,"Babson College, F.W. Olin Graduate School of Business Admissions, 231 Forest Street, Babson Park, Massachusetts 02457-0310",http://www.babson.edu/admission/graduate/Pages/msa-program.aspx
Babson College�s F.W. Olin Graduate School of Business: MS in Entrepreneurial Leadership,"Entrepreneurship, Leadership","$53,040",9 months,Fall,On-Campus,gradadmissions@babson.edu,781-239-4420,"Babson College, http://www.babson.edu/admission/graduate/Pages/contact-us.aspx, 231 Forest Street, Babson Park, Massachusetts 02457-0310",http://www.babson.edu/admission/graduate/Pages/master-in-entrepreneurial-leadership.aspx
Babson College�s F.W. Olin Graduate School of Business: MS in Business Analytics,Analytics & Data Science,"$57,210","18 - 24 months, part-time",,Blended,gradadmissions@babson.edu,781-239-4317,"F.W. Olin Graduate School of Business, Admissions 231 Forest Street, Babson Park, Massachusetts 02457-0310",http://www.babson.edu/admission/graduate/learn-more/Pages/request-information.aspx
Baruch College�s Zicklin School of Business: MS in Accountancy,Accounting,"$15,675",1.5-2 years,"Fall, Spring",On-Campus,Zicklin.Graduate.Advisement@baruch.cuny.edu,646-312-3140,"Baruch College/CUNY, Zicklin School of Business, One Bernard Baruch Way, 24th & Lexington Ave. Box B13-221, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/ms-programs/degrees/accountancy
Baruch College�s Zicklin School of Business: MS in Entrepreneurship,Entrepreneurship,"$15,675",1.5-2 years,Spring,On-Campus,ZicklinGradAdmissions@baruch.cuny.edu,646-312-1300,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/ms-entrepreneurship.html
Baruch College�s Zicklin School of Business: MS in Finance,Finance,"$15,195",3 semesters minimum,"Fall, Spring",On-Campus,Zicklin.Graduate.Advisement@baruch.cuny.edu,646-312-1300,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/finance
Baruch College�s Zicklin School of Business: MS in Financial Risk Management,"Finance, Risk Management","$15,195",3 semesters,"Fall, Spring",On-Campus,Zicklin.Graduate.Advisement@baruch.cuny.edu,646-312-1300,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/financial-risk-management
Baruch College�s Zicklin School of Business: MS in Information Systems,Information Systems,"$15,675",14 months,"Fall, Spring",On-Campus,mpalley@baruch.cuny.edu,646-312-3362,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/bus-cis.html
Baruch College�s Zicklin School of Business: MS in Marketing,Marketing,"$15,675",12 months,"Fall, Spring",On-Campus,Nermin.Eyuboglu@baruch.cuny.edu,646-312-3293,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/marketing
Baruch College�s Zicklin School of Business: MS in Quantitative Methods and Modeling,Finance,"$15,675",1.5-2 years,"Fall, Spring",On-Campus,Arie.Harel@baruch.cuny.edu,646-312-3394,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/quant-methods.html
Baruch College�s Zicklin School of Business: MS in Real Estate,Real Estate,"$15,675",1.5-2 years,Spring,On-Campus,Margo.Weaker@baruch.cuny.edu,646-660-6937,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/real-estate
Baruch College�s Zicklin School of Business: MS in Statistics,Statistics,"$15,675",1.5-2 years,Spring,On-Campus,Ann.Brandwein@baruch.cuny.edu,646-312-3364,"Baruch College/CUNY, Zicklin School of Business, 151 E. 25th St. Room 820, between Lexington & Third Avenue, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/statistics.html
Baruch College�s Zicklin School of Business: MS in Taxation,Taxation,"$10,450",1-1.5 years,"Fall, Spring",On-Campus,Zicklin.Graduate.Advisement@baruch.cuny.edu,646-312-1300,"Baruch College/CUNY, Zicklin School of Business, One Bernard Baruch Way, 24th & Lexington Ave. Box B-820, New York, New York 10010",http://zicklin.baruch.cuny.edu/programs/graduate/ms/degrees/taxation
Baylor University�s Hankamer School of Business: Master of Taxation,Taxation,"$54,450",3 semesters,"Fall, Spring",On-Campus,Gia_Chevis@baylor.edu,254-710-1328,"Baylor University, Hankamer School of Business, Department of Accounting & Business Law, One Bear Place #98002, Waco, Texas 76798",http://www.baylor.edu/business/accounting/index.php?id=931069
Baylor University�s Hankamer School of Business: MS in Accountancy,Accounting,"$54,450",2 semesters,"Fall, Spring",On-Campus,Gia_Chevis@baylor.edu,254-710-1328,"Baylor University, Hankamer School of Business, Department of Accounting & Business Law, One Bear Place #98002, Waco, Texas 76798",http://www.baylor.edu/business/accounting/index.php?id=931069
Baylor University�s Hankamer School of Business: MS in Economics,Economics,"$59,400",Data Forthcoming,Fall,On-Campus,Steve_Gardner@baylor.edu,254-710-2263,"Baylor University, Hankamer School of Business, Foster Campus for Business & Innovation, 1621 S. 3rd St., One Bear Place #98003, Waco, Texas 76798-8003",http://www.baylor.edu/business/index.php?id=86632
Baylor University�s Hankamer School of Business: MS in Information Systems,Information Systems,"$59,400",2 years,"Fall, Spring",On-Campus,gary_carini@baylor.edu,254-710-4091,"Baylor University, Hankamer School of Business, One Bear Place #98005, Waco, Texas 76798",http://www.baylor.edu/business/msis/
Boston College�s Carroll School of Management: MS in Accounting,Accounting,"$54,420",2-3 semesters,"Fall, Summer",On-Campus,bcmba@bc.edu,617-552-3920,"Boston College Graduate Admissions, 140 Commonwealth Ave., Carney Hall 175, Chestnut Hill, Massachusetts 02467-3809",http://www.bc.edu/schools/csom/graduate/msa.html
Boston College�s Carroll School of Management: MS in Finance,Finance,"$54,420",1 year,Fall,On-Campus,bcmba@bc.edu,617-552-3920,"Boston College Graduate Admissions, 140 Commonwealth Ave., Carney Hall 175, Chestnut Hill, Massachusetts 02467-3809",http://www.bc.edu/schools/csom/graduate/msf.html
Boston University�s Questrom School of Business: MS in Business Analytics,Analytics & Data Science,TBD,10 months,July,On-Campus,businessanalytics@bu.edu,617-353-2670,"Questrom School of Business Graduate Admissions Office, 595 Commonwealth Avenue, Suite 102, Boston, Massachusetts 02215",http://www.bu.edu/questrom/degree-programs/ms-in-business-analytics/
Boston University�s Questrom School of Business: MS in Management Studies,Management,"$52,816",9 months,Fall,On-Campus,msms@bu.edu,617-353-8470,"Boston University, Questrom School of Business, Office of Graduate Admission, 595 Commonwealth Avenue, Boston, Massachusetts 02215",https://www.bu.edu/questrom/degree-programs/ms-in-management-studies/
Boston University�s Questrom School of Business: MS in Mathematical Finance,Finance,"$52,816",3 semesters,Fall,On-Campus,msmf@bu.edu,617-353-2670,"Boston University, Questrom School of Business, Office of Graduate Admission, 595 Commonwealth Avenue, Boston, Massachusetts 02215",http://www.bu.edu/questrom/degree-programs/ms-in-mathematical-finance/
Boston University�s School of Hospitality Administration: Master of Management in Hospitality,Hospitality,"$53,184",15 months,Fall,On-Campus,busha@bu.edu,617-353-3261,"BU School of Hospitality Admissions, 28 Commonwealth Ave., Boston, Massachusetts",http://www.bu.edu/hospitality/academics/mmh/
Brigham Young University�s Marriott School of Business: Master�s of Accountancy,Accounting,"$17,270",2 years,Fall,On-Campus,soa@byu.edu,801-422-3951,"BYU Graduate Studies, School of Accountancy, BYU Marriott School of Management, 540 TNRB, Provo, Utah 84602",http://marriottschool.byu.edu/macc/
Brigham Young University�s Marriott School of Business: Master�s of Information Systems Management,Information Systems,"$17,270",2 years,Fall,On-Campus,mism@byu.edu,801-422-5602,"BYU Graduate Studies, 789 TNRB, Department of Information Systems BYU Marriott School of Management, Provo, Utah 84602",http://marriottschool.byu.edu/mism/
Brigham Young University�s Marriott School of Business: Masters of Public Administration,Public Administration,"$25,360",4 Semesters,September,On-Campus,mpa@byu.edu,801-422-4221,"Marriott School of Management, BYU MPA Program, 760 Tanner Building, Provo, Utah 84602",https://marriottschool.byu.edu/mpa/
C. T. Bauer College of Business: MS in Business Analytics (STEM),Analytics,"Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months full-time study, 24 months part-time study",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-analytics/
C. T. Bauer College of Business: MS in Finance (STEM),"Finance, Technology","Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months Full-Time study, 24 months Part-Time study",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Contact: Valentine O'Brien, Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/msfinance/
C. T. Bauer College of Business: MS in Global Energy Management,Energy,"Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months full-time, 24 months part-time",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Contact: Valentine O'Brien, Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-gem/
C. T. Bauer College of Business: MS in Management & Leadership,"Leadership, Management","Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months full-time, 24 months part-time",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Contact: Kimberley Kindle, Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-management-leadership/
C. T. Bauer College of Business: MS in Management Information Systems,Information Systems,"Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months full-time, 24 months part-time",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Contact: Kimberley Kindle, Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-mis/
C. T. Bauer College of Business: MS in Marketing,Marketing,"Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months full-time, 24 months part-time",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-marketing/
C. T. Bauer College of Business: MS in Supply Chain Management,Supply Chain Management,"Resident tuition and fees - $34,000; Non-Resident tuition and fees - $53,000; International Student - $59,000","12 months full-time, 24 months part-time",Fall or Spring,On-Campus,msprograms@bauer.uh.edu,713-743-0700,"Valentine O'Brien, Classroom and Business Building, 4742 Calhoun Road, Houston, Texas 77204",https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-scm/
Carnegie Mellon University�s Tepper School of Business: Master of Integrated Innovation for�Products & Services,Innovation,"$42,000",9 or 16 months,,On-Campus,integrated-innovation@andrew.cmu.edu,412-268-2268,"Carnegie Mellon University, 4612 Forbes Avenue, Pittsburgh, Pennsylvania 15213",http://www.cmu.edu/integrated-innovation/degrees/miips/index.html
Carnegie Mellon University�s Tepper School of Business: MS in Computational Finance,Finance,"$85,680",3 semesters,August,Blended,mscf@cmu.edu,412-268-3679,"Tepper School of Business, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213",http://www.cmu.edu/mscf
Carnegie Mellon University�s Tepper School of Business: MS in Software Management,Technology,"$63,000",12 months - 16 months (full-time),Fall,On-Campus,integrated-innovation@sv.cmu.edu,844-629-0200,"Carnegie Mellon University, Innovative Intigration Institute, NASA Ames Research Park, Bldg. 23 (MS 23-11), P.O. Box 1, Moffett Field, California 94035",http://www.cmu.edu/silicon-valley/academics/software-management/
Carnegie Mellon�s Tepper School of Business: MS in Business Analytics,Analytics & Data Science,"62,500",18 months,Fall,"Blended, On-Campus, Online",onlinemsba-admissions@andrew.cmu.edu,412-238-1101,"5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213",https://analytics.tepper.cmu.edu/
Case Western Reserve University�s Weatherhead School of Management: MS in Accountancy,Accounting,"$44,064",2 semesters,"Fall, Spring",On-Campus,ashley.lu@case.edu,216-368-5376,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/m-accountancy/
Case Western Reserve University�s Weatherhead School of Management: MS in Engineering and Management,"Engineering, Management","$77,280",3 semesters,Summer,On-Campus,ramona.david@case.edu,216-368-0596,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/m-engineering-management/
Case Western Reserve University�s Weatherhead School of Management: MS in Healthcare Management,Healthcare Administration,"$49,980",2 years,"Fall, Spring, Summer",On-Campus,rebecca.orenstein@case.edu,216-368-2431,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/ms-management/healthcare/
Case Western Reserve University�s Weatherhead School of Management: MS in Positive Organization Development & Change,Organizational Development,"$49,900",18 months,Fall,On-Campus,patricia.petty@case.edu,216-368-4642,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/ms/positive-organization-development-change/
Case Western Reserve University�s Weatherhead School of Management: MSM in Business Analytics,Analytics & Data Science,"$48,939",11 months,Summer,On-Campus,wsomadmissions@case.edu,216-368-2030,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/
Case Western Reserve University�s Weatherhead School of Management: MSM in Finance,Finance,"$52,500",2 semesters to 2 years,Fall,On-Campus,wsomadmission@case.edu,216-368-2030,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/ms-management/finance/
Case Western Reserve University�s Weatherhead School of Management: MSM in Operations Research and Supply Chain Management,Supply Chain Management,"$54,522",3 semesters,Fall,On-Campus,wsomadmissions@case.edu,216-368-2030,"Case Western Reserve University, Weatherhead School of Management, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235",https://weatherhead.case.edu/degrees/masters/ms-management/operations-research-supply-chain/
Chapman University�s Argyros School of Business: Master of Accounting,Accounting,"$40,500",12 months,Fall or Spring,On-Campus,dbrewer@chapman.edu,714-744-7694,"1 University Drive, Orange, California 92866",https://www.chapman.edu/business/graduate/prospective-students/programs/masters-in-accounting.aspx
"Columbia University Graduate School of Architecture, Planning and Preservation: MS in Real Estate Development",Real Estate,"Flat fee of $28,470 for 21-19 points",3 semesters,Summer,On-Campus,jas215@columbia.edu,212-854-3524,"1172 Amsterdam Avenue, New York, New York 10027",https://www.arch.columbia.edu/programs/8-m-s-real-estate-development
Columbia University�s Columbia Business School: MS in Accounting & Fundamental Analysis,"Accounting, Finance","66,990$",3-4 semesters,September,On-Campus,apply@gsb.columbia.edu,212-854-1961,"Columbia Business School, 3022 Broadway 203 Uris Hall, New York, New York 10027",https://www8.gsb.columbia.edu/programs/master-of-science/accounting-and-fundamental-analysis
Columbia University�s Columbia Business School: MS in Financial Economics,Economics,"$55,728",4 semesters,Fall,On-Campus,apply@gsb.columbia.edu,212-854-1961,"Columbia Business School, Master of Science Program, 3022 Broadway MC 9133, 311 Uris Hall, New York, New York 10027",http://www8.gsb.columbia.edu/programs/master-of-science/financial-economics
Columbia University�s Columbia Business School: MS in Management Science & Engineering (MS&E),Management,"$69,732",12 months,Fall,On-Campus,apply@gsb.columbia.edu,212-854-1961,"Industrial Engineering and Operations Research Department, Room 315, School of Applied Science, Columbia University, 500 West 120th Street, New York, New York 10027",http://mse.ieor.columbia.edu/
Columbia University�s Columbia Business School: MS in Marketing Science,Marketing,"$58,110",2 semesters,Fall,On-Campus,apply@gsb.columbia.edu,212-854-1961,"Columbia Business School, Master of Science Program, 3022 Broadway MC 9133, 311 Uris Hall, New York, New York 10027",http://www8.gsb.columbia.edu/programs/master-of-science/master-science-marketing
"Cornell University, School of Hotel Administration: Master of Management in Hospitality (MMH)",Hospitality,"$84,825",16 months,August,On-Campus,mmh@sha.cornell.edu,607-254-4228,"Graduate Admissions, 289 Statler Hall, Ithaca, New York 14853",https://sha.cornell.edu/admissions-programs/graduate/mmh/
Cornell University: Master of Industrial & Labor Relations,"Business Administration (MSBA), Entrepreneurship, Finance, Global/International Business, Human Resources, Leadership, Management, Organizational Development","$32,174",2 years,"Fall - August, Spring - January",On-Campus,ilrgradapplicant@cornell.edu,607-255-1522,"Cornell University, 218 Ives Hall, Ithaca, New York 14853",https://discover.ilr.cornell.edu/milr-poets-and-quants/
Cornell University�s Baker Program In Real Estate,Real Estate,"$113,000",Two Years,August,On-Campus,real_estate@cornell.edu,607-225-7110,"Graduate Admissions Office, 149 Statler Hall, Ithaca, New York 14853",https://baker.realestate.cornell.edu/
Cornell University�s Dyson School: MPS in Applied Economics and Management,"Economics, Management","$56,550",1 year,August,On-Campus,mps-dyson@cornell.edu,607-255-1616,"Graduate Admissions, B38 Warren Hall, Ithaca, New York 14853-7801",https://dyson.cornell.edu/programs/graduate/mps/
Cornell University�s Johnson Graduate School of Management: MPS in Management,Management,"$56,550",1 year,August,On-Campus,gradadmissions@business.cornell.edu,607-254-4228,"Graduate Admissions, 289 Statler Hall, Ithaca, New York 14853",https://www.johnson.cornell.edu/programs/mps-in-management/
"Cornell University�s Johnson Graduate School of Management: MPS in Management, Accounting Specialization","Accounting, Taxation","$56,550 (full year program)","Two semesters, 30-credit-hour program",Fall or Spring,On-Campus,gradadmissions@business.cornell.edu,607-254-4228,"Graduate Admissions, 289 Statler Hall, Ithaca, New York 14853",http://www.comm.business.cornell.edu/mps-management-accounting?utm_source=poets-quants&utm_medium=profile&utm_campaign=mps-acc&utm_term=sponsored&utm_content=event-ith
DePaul Chicago University: MS in Accountancy (Online),Accounting,"51,840",18 months,"Fall, Winter, Spring",Online,onlinemsa@depaul.edu,+1 800-950-0232,"1 East Jackson Blvd., Chicago, Illinois 60604",https://onlinemsa.depaul.edu/
Duke University Online Master of Quantitative Management: Health Analytics,"Analytics, Management","65,975",19 months,September,Online,healthanalytics@duke.edu,877-755-1342,"100 Fuqua Drive, PO Box 90120, Durham, North Carolina 27708-0120",https://www.fuqua.duke.edu/programs/mqm-health-analytics/
Duke University: Master In Interdisciplinary Data Science (MIDS),Analytics & Data Science,"$25,740",2 years,Fall,On-Campus,dia@poetsandquants.com,919-681-1972,"Courtney Orning, 140 Science Drive",https://ssri.duke.edu/education/master-interdisciplinary-data-science-mids
Duke University: MS in Quantitative Financial Economics,Economics,"$81,537",30 credits,Fall,Blended,tamara.burns@duke.edu,919-660-1829,"MQFE Program Assistant: Tamara Burns, 419 Chapel Drive, 213 Social Sciences Bldg. Box 90097, Durham, North Carolina 27708-0097",https://econ.duke.edu/masters-programs/degree-programs/mqfe
Duke University�s Fuqua School of Business: Master of Quantitative Management in Health Analytics,Analytics & Data Science,"$65,975",10 months,July,On-Campus,mqmbusinessanalytics@fuqua.duke.edu,919-660-7705,"Duke University's Fuqua School of Business, Claire Garst, Associate Director of Admissions, 100 Fuqua Drive, PO Box 90120, Durham, North Carolina 27708-0120",https://www.fuqua.duke.edu/programs/mqm-business-analytics
Duke University�s Fuqua School of Business: MMS Duke Kunshan University,Management,"$54,000",10 months,July,On-Campus,admissions-info@fuqua.duke.edu,+1 919-660-7705,"Fuqua School of Business, 100 Fuqua Drive, Durham, North Carolina 27708",https://www.fuqua.duke.edu/programs/mms-duke-kunshan-university
Duke University�s Fuqua School of Business: MMS Foundations of Business,Management,"$54,000",10 months,July,On-Campus,mms-fob-info@fuqua.duke.edu,919-660-7705,"Duke University's Fuqua School of Business, Claire Garst, Associate Director of Admissions of, 100 Fuqua Drive, PO Box 90120, Durham, North Carolina 27708-0120",https://www.fuqua.duke.edu/programs/mms-foundations-business
Emory University�s Goizueta Business School: BBA/Master of Professional Accounting,Accounting,"$57,000",2 semesters,Fall,On-Campus,MBAadmissions@emory.edu,404-727-6270,"Goizueta Business School: Emory University, 1300 Clifton Road, Atlanta, Georgia 30322",http://goizueta.emory.edu/degree/undergraduate/documents/BBAMPA_Program.pdf
Emory University�s Goizueta Business School: MS in Business Analytics,Analytics & Data Science,"$70,296",10 months,July,On-Campus,msba@emory.edu,404-727-2853,"Goizueta Business School:, Emory University, 1300 Clifton Road, Atlanta, Georgia 30322",https://goizueta.emory.edu/msba?utm_source=PQ&utm_medium=PROFILE
Florida International University: MS in Finance,Finance,"$30,000",1 year,Spring & Fall,On-Campus,msfft@fiu.edu,305-348-7277,"11200 SW 8th St., Modesto A. Maidique Campus RB 220, Miami, Florida 33199",https://msf.fiu.edu
Florida International University: MS in International Real Estate,Real Estate,"$30,000",10-12 months,Spring & Fall,"On-Campus, Online",msire@fiu.edu,305-779-7898,"1101 Brickell Avenue Suite 1100-S, Miami, Florida 33131",https://business.fiu.edu
Fordham University�s Gabelli School of Business: MS in Acocunting,Accounting,"$40,560",1 or 2 years,"Fall, Spring, or Summer",On-Campus,admissionsgb@fordham.edu,212-636-6200,"Fordham Graduate Business Admissions, 45 Columbus Avenue 4th Floor, New York, New York 10023",http://www.fordham.edu/info/24009/accounting
Fordham University�s Gabelli School of Business: MS in Applied Statistics and Decision Making,Statistics,"$40,560",1 or 2 years,Fall,On-Campus,whartonphd@fordham.edu,212-636-6000,"Fordham University, Gabelli School of Business, 113 West 60th Street, New York, New York 10023",https://www.fordham.edu/info/24008/applied_statistics_and_decision-making
Fordham University�s Gabelli School of Business: MS in Business Analytics,Analytics & Data Science,"$40,560",1 year,Fall,On-Campus,raghupathi@fordham.edu,212-636-6000,"Fordham University, Gabelli School of Business, 113 West 60th Street, New York, New York 10023",http://www.fordham.edu/info/21535/business_analytics
